11133	131	25654
15819	29	22530
15375	62	21003
24808	71	16504
7840	75	9729
27109	124	11494
16157	36	15034
24865	36	24205
18318	129	7398
11222	27	10790
3912	101	3331
6089	116	8059
21349	115	26059
533	11	10664
23376	43	16051
9118	32	7862
8034	101	20693
6827	29	23336
20669	71	25478
17898	71	21333
11269	11	25414
25726	112	26568
14779	27	9099
20269	33	3799
26673	22	2546
3427	17	22519
7930	43	6012
24569	132	13414
3756	115	2523
3086	124	11494
3763	72	10229
10330	82	15633
23201	34	10229
6996	62	20027
23340	71	3679
20665	50	23949
27827	132	18833
9062	116	842
416	27	25415
1334	74	7761
16193	89	27159
21703	11	13656
8793	32	24250
6233	72	3890
23358	82	20027
21645	105	7398
10720	62	20241
16819	125	11057
13863	32	26583
8893	79	7862
20865	101	3331
24903	74	25333
27496	43	10046
1831	122	8498
13889	79	7862
9319	17	579
23921	15	14532
11350	22	2546
9366	63	1698
16890	71	13769
8250	43	14532
1267	37	15576
9300	131	16504
25154	43	22665
27061	43	6012
25491	129	7398
9451	33	3799
19809	82	23252
25786	4	20693
14850	33	3799
1605	82	20773
4655	87	16476
5430	71	25654
9804	132	7387
9093	72	12457
15296	37	15576
10770	71	6128
20167	29	22530
27199	27	18833
13295	82	20773
15678	17	10994
25748	27	9099
17035	132	5677
1043	96	4492
15634	79	7862
20082	89	3311
6455	22	2546
17455	36	21356
9523	72	19879
1245	43	6012
6229	132	5434
3115	90	20437
14712	43	2478
26995	43	14532
1510	33	5950
340	93	27057
5891	27	1933
13067	79	7862
6653	72	20027
22274	26	22080
8226	49	12104
19384	33	3799
12315	129	7398
12775	90	20437
5181	43	22665
4739	110	7398
10035	79	7862
9837	129	7398
16832	17	579
16382	11	25414
11355	27	25415
10489	29	23336
24882	96	5440
25526	75	25825
4841	34	20437
10265	75	26568
16369	130	11671
19640	79	7862
5534	72	7327
27193	17	579
3381	132	13414
8177	71	16504
13425	132	18833
22471	34	14747
9712	129	7398
26785	22	2546
21149	90	20437
16961	16	27636
17722	133	22665
19424	15	14532
8750	79	7862
6425	101	20288
12525	33	8609
17376	79	7862
24707	129	7398
1710	56	6019
2479	74	10094
23615	89	27159
9619	132	9099
8474	29	22530
14505	32	15861
19585	133	14532
23748	33	3799
19486	19	23822
23907	96	9979
21450	71	13769
5936	33	3799
27412	79	7862
1219	33	3799
9851	129	7398
18521	101	3483
25739	36	22530
8560	81	22530
14852	71	17506
1216	15	27023
12205	43	24335
20240	27	862
12141	4	3483
7621	96	4492
21392	74	27289
26334	29	3087
2774	33	3799
25319	101	3331
13510	79	22710
19105	132	10790
3374	132	7750
11231	134	21299
19059	75	19503
25331	74	26313
3302	50	22218
5405	43	12185
22292	96	5440
1713	49	26131
26743	116	2229
25513	93	23971
8060	116	20027
17723	33	3799
15279	21	21093
20062	131	16504
18988	133	14532
16448	32	15861
4474	132	18833
24272	71	3679
24804	96	8246
17162	71	21601
18603	11	10664
21417	72	7954
1485	90	20437
11508	43	22665
9237	132	7387
21011	101	3331
19239	98	23894
1794	29	23199
2688	132	18833
15930	27	13788
10848	17	579
8124	82	20773
6799	66	18683
25836	29	22530
4587	74	27289
23039	89	27159
22705	29	22530
27756	29	23199
23675	33	3799
20223	82	20773
974	71	7472
8669	36	21356
13348	21	20384
23980	22	2546
16464	43	27023
21534	15	14532
1212	96	2836
597	42	7959
19318	131	16504
27515	79	7862
12211	116	11109
14866	37	5991
25187	79	7862
6881	11	10664
7117	82	17366
24472	79	7862
4655	90	20437
8833	81	22530
5760	29	22530
2195	71	25425
20309	72	15998
11795	122	8498
4615	89	15998
24880	32	9690
13317	62	25732
7473	132	6909
26629	29	13891
18082	34	20437
6398	46	23878
10317	124	14200
19031	129	7398
1315	25	20531
23552	131	20597
8710	37	8517
23247	129	7398
25016	77	24791
209	65	7398
1622	81	24670
7035	18	20773
6100	8	21248
27690	132	13788
6820	79	7862
22325	66	10149
7162	129	7398
3859	31	21518
3202	33	3799
5052	129	7398
1789	93	23971
3754	37	15576
19913	62	10775
23976	82	7327
5033	79	7862
23423	115	22072
6997	86	5758
18574	132	6362
2689	113	21356
5971	62	20241
26510	115	17028
1540	15	14532
22333	72	12788
8146	62	20027
3182	74	5488
9847	79	7862
3511	33	3799
8519	126	11671
6284	71	25425
19985	11	13656
20869	122	8498
16820	34	6344
240	9	4733
8944	36	22530
12107	21	5289
6807	129	7398
91	33	3799
10268	132	25415
877	75	18116
9678	82	14307
14958	31	17633
23374	131	25654
24275	79	7434
22441	32	9690
9943	96	24973
11188	43	24665
24186	22	2546
714	27	8548
27050	43	6012
2458	96	21116
19094	133	22665
6969	19	25732
5334	54	7761
26512	32	24250
15451	29	22530
1563	75	27491
17106	79	7862
19394	63	8100
23254	74	23971
23998	89	15998
10958	33	3799
12680	72	19879
12892	79	7862
24104	49	26131
27525	62	7327
14965	49	26131
3802	129	7398
6876	32	15861
18660	62	7327
2570	79	7862
21652	32	15861
13371	21	14217
4400	43	27023
8485	62	16858
21130	33	3799
21386	79	68
7741	89	27241
23048	71	25654
8043	89	27159
282	32	15861
19853	89	15998
27353	129	7398
18249	96	22487
22736	15	14532
17105	79	7862
13460	79	7862
17812	15	22665
26581	33	3799
20373	32	15861
1975	71	21333
6221	129	7398
3811	132	1933
19075	96	24973
27441	74	20241
4800	19	11241
3252	116	1236
7930	74	23914
20917	113	15034
17524	82	12186
10963	31	7761
3016	15	14532
16102	79	7862
22857	29	23336
21762	109	18207
18587	132	1933
3983	4	3483
21382	29	22530
2721	96	5440
1538	27	18833
17932	50	16115
12716	66	10149
20084	101	3483
18537	27	18833
4071	21	5289
15460	87	14226
4188	27	1933
25785	71	20859
11712	77	16971
24495	120	18626
8707	122	8498
12194	1	9690
17125	96	22487
14616	27	18833
22035	101	3331
5789	33	3799
3695	115	5191
56	131	16504
16143	81	22530
12933	62	7327
5270	89	27159
11065	34	20437
14022	97	4733
4494	132	16615
1869	19	3821
15381	75	20859
568	113	24205
7105	27	18833
22991	15	22665
26382	96	26554
15672	27	18833
22551	132	16615
5079	71	8183
8833	93	25333
7271	16	26631
11240	22	2546
20734	129	7398
25623	72	5368
11440	132	18833
27511	33	3799
7475	113	24205
6453	27	13414
16236	43	14532
8587	72	7937
4693	33	3799
14800	89	27159
4483	89	15350
6740	132	7387
11782	81	22530
13028	81	22530
18884	79	7862
24337	90	26630
11419	122	8498
25231	129	7398
25390	129	7398
21770	34	10229
12766	96	15125
1210	49	26131
25252	129	7398
18219	129	7398
25751	33	3799
27085	106	8335
1200	27	18833
5166	42	3821
17097	79	7862
5495	96	24127
26950	71	16504
16899	32	24250
4953	79	7862
21327	129	7398
8613	82	23252
25935	132	862
11440	15	14532
1565	15	14532
19336	109	18207
12053	119	14250
21399	93	1363
7061	11	10664
1512	93	7954
9262	33	3799
24152	74	10094
18044	32	24250
5808	71	8183
10316	129	7398
13793	31	7761
16217	132	9099
5426	79	7862
17465	80	15368
24214	91	23886
18603	74	25333
4792	11	10664
23305	74	5714
9369	22	2546
23146	129	7398
14140	96	2836
14193	89	27159
22153	49	26131
27497	76	22429
19032	129	7398
7892	43	6012
10706	93	7761
6954	96	19478
26305	34	14747
19973	74	7761
8542	15	23080
2650	129	7398
6409	115	22683
1856	62	8059
14871	72	12788
15973	129	7398
8404	49	12104
15028	71	19176
16184	132	18833
4143	29	22530
10484	11	25414
22170	81	22530
21760	71	16504
21591	27	7387
13620	11	10664
7537	0	6960
3424	96	12972
17296	71	25425
18147	22	2546
6762	33	3799
17766	79	7862
8293	42	16711
23273	129	7398
8568	119	10440
16598	29	13891
5743	33	3799
26660	119	14250
4867	72	20773
17490	43	6012
18888	19	11112
17111	71	10440
12874	72	16711
12829	50	23949
538	31	4733
23408	131	16504
12280	113	21356
4717	107	22871
14659	79	7862
5682	98	23894
12989	75	26568
9521	129	7398
24447	43	14532
3875	87	22492
9803	82	7327
3888	132	5848
179	43	22377
12598	133	22665
5357	132	7633
16733	31	1363
14083	96	20554
18889	79	7862
27091	71	21601
27540	124	14960
10189	43	23080
24193	115	1204
3756	115	4148
12735	129	7398
21197	96	6925
9205	27	7750
9840	33	3799
27037	99	16363
6318	115	18310
17224	43	22665
17087	71	8183
21110	71	16504
25513	90	20437
5331	29	22530
16160	43	2536
9790	101	3331
2881	22	2546
2231	71	10104
21404	29	22530
25375	66	18683
12945	90	20437
26604	94	17547
18022	89	20635
14876	96	24973
10744	131	16504
21994	89	15998
24033	27	18833
6954	15	6012
26173	82	20773
727	11	13656
7272	71	14250
19252	90	20437
11330	87	25250
12333	62	3890
15734	89	17143
16101	11	10664
18628	87	16476
4449	42	19879
9603	129	7398
13523	101	3483
27617	81	22530
18945	33	3799
19775	75	18116
20499	74	10094
12261	36	21356
22558	96	24973
27078	50	599
3129	115	5664
5491	93	4961
9561	96	4492
15119	13	23271
7669	129	7398
10031	69	5488
21959	33	8609
4040	32	9690
2958	96	22487
5679	63	8100
24315	82	20027
4628	63	6932
6892	42	16711
13103	11	17633
24637	133	22665
23818	129	7398
27281	22	2546
10844	135	9625
20534	109	18207
7892	33	3799
27579	18	1236
21140	27	7750
22078	101	3331
8646	29	23336
7423	43	6012
9967	32	15861
26680	36	24205
12611	96	24973
14957	124	14960
27523	129	7398
2919	25	20531
11664	56	16486
26322	19	5801
14026	127	15937
17549	132	13414
8573	27	15583
14541	33	3799
8558	129	7398
2831	79	7862
4461	33	3799
7535	71	16504
16348	79	7862
21762	32	24250
20269	43	25250
6843	56	15640
19293	27	7633
20617	82	20773
11059	44	8498
17504	13	4407
7091	132	851
7981	5	5886
23968	11	10664
24327	27	9099
14868	129	7398
26813	101	3483
21729	43	27023
7396	127	7444
2206	43	6012
8441	71	3679
12264	132	561
25670	98	23894
25408	17	579
5396	81	22530
2033	33	3799
25075	32	15861
2035	62	7327
8712	66	10149
7152	75	26568
3756	115	15888
11978	133	22665
16651	37	8517
7394	34	10229
23637	74	23914
17165	19	5801
19723	113	13151
9522	96	9908
6834	43	24667
2502	101	3331
8595	93	27766
1456	27	7633
21948	29	22530
12960	71	25425
2479	71	3679
21167	132	6909
7381	131	7536
342	34	20437
5333	27	18833
17231	71	2536
6373	50	23949
3027	113	15034
12341	79	7862
12279	81	22530
21075	11	10664
27677	120	18626
16268	74	1363
10586	79	7862
12840	27	7996
9284	32	24250
10114	43	6012
19742	25	20531
912	34	20437
19975	131	16504
18470	55	25393
730	79	7862
10583	33	3799
6332	74	27289
12049	8	21248
25642	54	5488
3519	76	7424
18515	29	22530
14947	89	27159
10216	29	22530
14604	21	608
21325	82	23252
20127	33	3799
3407	81	22530
25675	27	18833
1560	129	7398
24998	71	7519
17387	129	7398
23826	79	7862
6967	125	21462
11448	71	16504
17974	33	3799
16649	93	17352
20960	33	3799
23835	82	17366
5852	133	22665
5412	71	23689
46	93	2406
14105	132	20982
5552	8	21248
5033	33	3799
14774	74	12553
23988	22	2546
19165	27	18833
24448	132	18833
9160	122	8498
7527	76	22429
19052	11	10664
18780	71	25478
14616	29	22530
10652	116	12165
16900	87	25250
21981	25	8517
3675	133	14532
19453	29	23336
16499	34	20437
17467	15	14532
24628	74	5488
9921	43	22665
19662	71	16504
6304	27	9099
26439	93	8874
9672	33	3799
4898	87	25250
18213	101	3483
20918	101	11460
14774	71	11836
21466	11	25414
18604	36	15034
4357	81	22530
23722	6	25654
10710	74	21329
22345	116	11109
13473	87	25250
6260	133	14532
15417	129	7398
21563	127	7444
17207	101	3331
25794	43	13048
26146	29	13891
2591	72	10229
15694	89	27159
208	63	1698
15910	5	8498
17095	29	22530
5742	96	25314
1456	133	14532
9573	79	7862
1628	113	21356
3836	130	11671
736	89	17143
23683	115	13418
4862	74	1363
15331	51	23914
532	43	24335
26627	75	18116
23115	98	22530
19001	22	2546
3170	93	23351
21371	129	7398
25729	57	7398
13751	124	14960
9467	71	16753
25340	71	16504
3437	79	7862
9416	133	2536
18217	96	24973
4203	32	9690
15956	33	8609
17839	71	3679
4243	96	2102
23652	32	9690
26099	98	6746
17684	15	2628
26473	32	15861
11220	129	7398
17094	120	18626
4137	82	13952
24194	74	7761
26560	27	9099
11832	82	20773
11895	72	20027
21712	90	20437
27356	32	26583
23748	62	3890
16260	81	22530
19700	32	26583
3833	131	27470
17068	32	26583
26594	25	27396
27124	66	18683
9214	90	20437
27008	122	8498
22452	33	3799
3236	96	17147
23656	81	22530
4240	32	24250
16986	42	19879
6051	32	9690
17501	33	3799
15099	74	20241
13461	32	26583
20864	72	1984
14580	132	13414
10424	120	18196
303	74	4733
13474	63	8100
14152	98	6746
2666	113	24205
18771	74	27289
26678	33	3799
14495	129	7398
6266	27	13414
26242	131	27470
7863	29	9094
20579	17	579
4472	49	26131
5442	122	8498
4549	129	7398
11809	15	14532
6530	21	20823
5587	71	8183
22090	96	1313
4278	11	25414
24526	131	25654
14476	89	27159
10691	76	22429
6209	29	22530
18573	29	22530
22539	129	7398
10497	71	16504
15730	11	25414
25430	62	4193
4792	76	1936
6350	36	24205
3100	93	7954
27631	33	3799
7199	21	5289
11834	43	6012
14255	82	3279
5352	36	15034
24803	76	1936
19423	43	6012
15338	33	3799
19339	57	7398
20879	36	15034
17692	119	10440
2824	96	12621
27487	122	8498
11663	27	13414
15492	79	7862
3765	106	8335
7723	71	3679
938	89	15998
23813	43	6012
27358	33	3799
5997	29	22530
14807	76	23894
2428	93	929
460	34	10229
14554	49	26131
2776	72	14305
2706	93	6964
18853	132	18833
8816	34	10229
18822	27	9099
12321	33	3799
18422	43	24665
17354	72	20437
24154	29	22530
8932	134	24862
1597	43	6012
1168	25	8517
15555	33	3799
9981	109	18207
24372	33	3799
11072	33	3799
1801	21	5289
110	55	10855
8039	50	23949
50	132	24113
3385	49	26131
6661	98	23894
27445	27	18833
18148	33	3799
26805	65	7398
15645	129	7398
3429	48	23886
10348	27	9099
16433	54	7761
23419	129	7398
2963	74	4733
19047	71	3679
27467	132	7387
20407	119	7493
5455	36	24205
801	33	3799
7247	22	2546
11048	110	2546
23961	43	24665
19911	43	27023
13860	65	7398
24375	9	18966
25503	21	21093
16182	33	3799
13650	71	25654
12194	8	2546
7181	29	22530
1759	96	6148
5710	96	6989
14854	90	20437
14167	62	16858
24110	120	26879
21979	79	7862
7285	33	3799
4631	71	8183
16093	33	3799
6561	29	22530
23285	93	2406
12259	15	6012
24383	29	23199
25345	29	22530
15001	50	9297
26372	79	7862
27811	101	3483
25596	132	15547
21470	33	8609
5448	74	7761
21257	82	12788
6785	81	2125
19521	71	3679
20123	96	19478
2096	13	19747
10444	129	7398
22862	27	9099
22886	33	8609
24732	49	26131
4227	43	6012
2982	82	20773
